artist_name,track_name,energy,danceability,loudness,acousticness,speechiness,liveness,valence,tempo,duration,top_hit
Jazzminshroom,I Don't Hate Nobody,0.959,0.42,-1.662,0.00361,0.112,0.352,0.406,180.025,190.49,0
Big Idol,Macarena - Radio Version,0.973,0.702,-3.11,0.1,0.11,0.0967,0.956,103.234,223.95,0
Ellen Doty,Sea of Hearts,0.215,0.721,-14.828,0.746,0.0377,0.0954,0.233,98.049,163.36,0
Samuraii Jack,TRAPPED 4 A LIVING,0.6,0.828,-7.815,0.0205,0.317,0.188,0.524,130.188,118.23,0
Paris Street,Out-Takes from the Night Before (Everybody Laughs),0.596,0.365,-10.822,0.956,0.0316,0.106,0.318,151.031,198.01,0
kingwoo036 da God,I'm Trending,0.293,0.947,-10.096,0.233,0.35,0.0792,0.0393,125.056,106.1,0
Kasai Allstars,The Goat’s Voice (Lullaby),0.816,0.722,-8.005,0.77,0.0461,0.0864,0.866,94.984,340.84,0
Ricardo Montaner,En La Faz De La Tierra,0.573,0.559,-4.975,0.816,0.0388,0.0891,0.136,126.099,320.67,0
Grupo Nuevo Convoy,Alfredo (En Vivo),0.702,0.748,-6.773,0.161,0.136,0.257,0.869,117.891,250.82,0
Project Poppa,steve austin,0.704,0.708,-7.812,0.365,0.292,0.0635,0.668,96.928,108.44,0
Walter Martin,The Wishing Well,0.61,0.469,-6.53,0.492,0.0998,0.126,0.591,145.196,198.3,0
Mananes,Life-Changing Garden,0.0716,0.405,-20.029,0.858,0.032,0.0898,0.132,80.155,72.57,0
Acoustic Syndicate,Fleeting Moments,0.702,0.457,-8.255,0.0438,0.0343,0.401,0.503,139.296,251.87,0
Mad Sin,Totgesagte leben länger,0.977,0.543,-4.496,0.000232,0.0662,0.369,0.845,147.035,207.85,0
Midnight River Choir,You Broke Another Heart Tonight,0.318,0.458,-12.867,0.707,0.0335,0.131,0.352,138.997,209.12,0
Chalie Boy & Tite,Fa Sho,0.587,0.788,-6.337,0.615,0.104,0.184,0.766,91.672,251.14,0
Prince Poodie,Invest In Your Love,0.457,0.869,-10.397,0.378,0.21,0.124,0.39,105.991,216.22,0
Chain Station,Wide Right Turns - Live,0.43,0.488,-15.142,0.299,0.0307,0.068,0.881,126.75,244.0,0
Baby Sleep Lullaby Academy,Baby Sleep Aid,0.0174,0.193,-33.048,0.988,0.0402,0.0768,0.0393,69.197,244.88,0
Ocean Waves Sleep Aid,Birds and Beaches,0.956,0.093,-19.456,0.191,0.062,0.809,1e-05,88.593,205.07,0
Slingshot Dakota,Rasta Bacca,0.896,0.2,-6.135,0.00127,0.0319,0.145,0.535,179.261,177.67,0
Tim Soucy,Surface Fish,0.32,0.373,-15.13,0.338,0.0345,0.101,0.221,100.072,155.63,0
24Naro,Dont Cry,0.473,0.794,-10.691,0.593,0.281,0.301,0.33,99.934,213.71,0
Dany Brillant,La Belle Vie,0.467,0.516,-6.999,0.361,0.0394,0.145,0.657,115.026,189.2,0
Maven Gray,Angel Wings,0.725,0.72,-6.04,0.262,0.0631,0.124,0.373,140.038,156.89,0
Preston Langston,Anything,0.205,0.412,-11.298,0.893,0.0327,0.113,0.202,136.824,192.0,0
The Weakend,This Sudden Loss of Innocence,0.972,0.541,-2.331,0.0326,0.0555,0.0872,0.619,94.976,230.51,0
Yantz,With My Day 1's (feat. Chubbz),0.503,0.828,-12.759,0.267,0.425,0.087,0.546,99.994,184.8,0
Former Informer,Dangerous Smile,0.57,0.317,-9.865,0.00578,0.0424,0.409,0.237,74.969,80.04,0
Dickie Goodman,Santa & The Touchables,0.665,0.625,-4.039,0.87,0.432,0.607,0.819,136.137,105.31,0
Talen Talea,Paranoid,0.146,0.818,-19.684,0.828,0.123,0.108,0.235,110.026,74.18,0
Dat Boi T,Renegade Call - Skit,0.0231,0.59,-36.123,0.214,0.546,0.602,0.755,138.55,34.91,0
Mananes,Beat and Voyage,0.0369,0.666,-26.622,0.99,0.0457,0.0899,0.0384,82.501,57.7,0
Korey Mickie,They Don't Know,0.935,0.533,-5.771,0.000982,0.0757,0.0369,0.705,163.066,250.07,0
Josh Garrett,My Feelings,0.598,0.677,-9.462,0.314,0.295,0.142,0.492,152.246,135.34,0
Culture Cutters,Instrumental Interjection,0.15,0.173,-16.888,0.954,0.0358,0.123,0.187,89.608,165.51,0
Starfish Knights,Justice Party,0.444,0.613,-14.216,0.992,0.0693,0.0968,0.308,93.022,179.03,0
Los Marceles,Viejo El Viento,0.776,0.732,-6.191,0.261,0.181,0.0523,0.852,104.685,173.8,0
Samuel Hernández,Por Si No Hay Mañana,0.725,0.484,-6.08,0.0993,0.0299,0.104,0.514,140.134,249.41,0
Wave Sound Group,Mediterranean Shores,0.83,0.126,-26.445,0.885,0.152,0.371,0.00981,169.944,193.18,0
The Sound Of Urchin,Alligator Swamp,0.734,0.747,-7.267,0.00534,0.0425,0.0917,0.83,158.195,274.17,0
LoQuacious,Shorty You A Vet,0.68,0.79,-5.268,0.592,0.333,0.143,0.797,85.043,217.52,0
Cody Bennett,Xxl: Stogie Cypher III,0.696,0.648,-9.402,0.397,0.296,0.0787,0.47,170.028,494.75,0
Dat Boi T,I Made This Track,0.658,0.782,-9.718,0.399,0.228,0.0974,0.485,148.079,259.61,0
Optimist Prime,Belly of the Beast,0.395,0.723,-11.575,0.217,0.0337,0.216,0.484,89.969,108.29,0
Pisinemo & Co.,Inner Self Cumbia,0.815,0.761,-7.884,0.0336,0.104,0.166,0.833,100.975,255.83,0
Volatile,Get Mine,0.892,0.358,-5.661,0.0197,0.369,0.151,0.365,134.245,188.58,0
Al-D,Real Talk,0.442,0.784,-11.688,0.313,0.389,0.798,0.637,127.558,210.84,0
Sons of Vengeance,Poser,0.937,0.522,-5.926,0.000723,0.102,0.201,0.507,160.019,296.39,0
Terri Clark,Suddenly Single,0.327,0.548,-7.794,0.174,0.0271,0.135,0.198,109.526,239.52,0
Irene's Entropy,Quetico,0.495,0.335,-9.749,0.0555,0.0385,0.129,0.238,147.094,261.15,0
The O'My's,Don't Know Better,0.434,0.683,-9.822,0.283,0.0544,0.111,0.0757,92.747,176.9,0
Irene's Entropy,Persephone,0.561,0.352,-8.644,0.255,0.0989,0.128,0.185,166.925,211.69,0
Native American Flute,Loyalty,0.0555,0.294,-29.614,0.966,0.0527,0.12,0.035,86.617,97.8,0
KOBUKURO,ボーイズ・オン・ザ・ラン,0.639,0.555,-5.214,0.0616,0.0353,0.0378,0.441,96.045,314.69,0
La Clave Con Swing,Me Enamore,0.69,0.902,-8.163,0.194,0.0815,0.0876,0.884,102.996,452.44,0
Cooper Glass,Evolve,0.421,0.85,-8.559,0.0948,0.24,0.113,0.266,139.979,194.14,0
Sounds of Nature Caribbean Rain Factory,Serenity Stream,0.217,0.141,-29.785,0.0,0.0471,0.397,0.0514,73.298,63.16,0
E.TEE,(Intro) SPACESHIP,0.46,0.813,-11.368,0.253,0.456,0.242,0.561,120.033,164.57,0
The Sweetsers,Deep Breath,0.0345,0.326,-25.527,0.977,0.0439,0.142,0.0783,72.981,140.8,0
Futurecop!,The Only Way (feat. Keenhouse),0.85,0.638,-4.006,0.151,0.286,0.132,0.701,128.997,239.0,0
Rey Ruiz,No Me Acostumbro,0.827,0.658,-5.661,0.674,0.039,0.375,0.932,172.954,289.56,0
Roosevelt Diggs,How to Say No,0.489,0.688,-10.68,0.048,0.0251,0.203,0.398,92.009,282.52,0
Yoga Playlist,Unknown Forward,0.222,0.187,-18.111,0.961,0.0598,0.161,0.075,155.71,30.89,0
Neal Schon,Burning Bridges,0.887,0.472,-6.156,0.000553,0.037,0.159,0.588,145.973,279.87,0
Henri Salvador,Syracuse - Live au Casino de Paris,0.377,0.475,-12.691,0.473,0.034,0.429,0.326,118.062,214.13,0
Wild Echoes,Steady Gurgling Waves,0.994,0.175,-20.998,0.752,0.0577,0.93,1e-05,90.792,232.62,0
Lil Raff,Club Love Screwed,0.376,0.854,-17.415,0.0293,0.508,0.126,0.587,144.032,323.32,0
Django Django,Winter’s Beach,0.404,0.321,-8.994,0.957,0.033,0.108,0.159,65.74,162.51,0
Xmayne,Be Great,0.519,0.62,-8.368,0.0124,0.379,0.0766,0.252,84.866,203.36,0
Harper Kirk,David Of The White Rock,0.105,0.456,-18.991,0.843,0.0442,0.1,0.0779,81.544,217.52,0
DC Powerhouse,Take Flight,0.66,0.832,-9.636,0.0402,0.0407,0.336,0.701,120.016,296.48,0
KMFDM,Material Girl,0.926,0.66,-9.185,0.00351,0.0859,0.06,0.306,134.999,267.99,0
Mourning Sects,His Girlfriends Girlfriend,0.0688,0.171,-31.678,0.701,0.0491,0.496,0.0701,122.837,63.9,0
Bryan Lazar,Everybody's Got Somebody but Me,0.594,0.539,-10.352,0.0348,0.0384,0.116,0.621,110.046,226.91,0
