artist_name,track_name,energy,danceability,loudness,acousticness,speechiness,liveness,valence,tempo,duration
"Gera MX, Christian Nodal",Botella Tras Botella,0.546,0.727,-4.572,0.656,0.0437,0.122,0.69,106.891,197333
"Los Legendarios, Wisin, Jhay Cortez",Fiel,0.701,0.849,-4.407,0.407,0.06,0.112,0.505,98.005,261667
Tones And I,Dance Monkey,0.588,0.824,-6.4,0.692,0.0924,0.149,0.513,98.027,209438
The Kid LAROI,WITHOUT YOU,0.413,0.662,-7.357,0.213,0.0299,0.134,0.467,93.005,161385
Drake,Wants and Needs (feat. Lil Baby),0.449,0.578,-6.349,0.0618,0.286,0.119,0.1,136.006,192956
Bo Burnham,Bezos I,0.948,0.694,-5.307,0.00936,0.0361,0.139,0.705,115.044,58149
Dua Lipa,Love Again,0.667,0.659,-4.668,0.00173,0.0339,0.1,0.468,115.982,258004
"Travis Scott, HVME",Goosebumps - Remix,0.593,0.841,-7.846,0.418,0.0379,0.124,0.808,124.917,162803
Joel Corry,Head & Heart (feat. MNEK),0.874,0.734,-3.158,0.168,0.0662,0.0489,0.905,122.953,166028
"Joel Corry, RAYE, David Guetta",BED,0.782,0.671,-4.593,0.0142,0.0341,0.333,0.618,123.989,178088
"Justin Wellington, Small Jam",Iko Iko (My Bestie),0.753,0.862,-5.356,0.131,0.0625,0.077,0.827,105.039,182857
"Belly, The Weeknd, Young Thug",Better Believe,0.573,0.797,-7.85,0.159,0.319,0.144,0.445,124.995,206629
Duncan Laurence,Arcade,0.329,0.45,-12.603,0.818,0.0441,0.135,0.266,71.884,183624
"Mora, Jhay Cortez",512,0.673,0.818,-7.542,0.348,0.148,0.172,0.695,87.961,193636
Ariana Grande,positions,0.802,0.737,-4.771,0.468,0.0878,0.0931,0.682,144.015,172325
Post Malone,Circles,0.762,0.695,-3.497,0.192,0.0395,0.0863,0.553,120.042,215280
"RAF Camora, Bonez MC",Blaues Licht,0.835,0.819,-4.899,0.398,0.102,0.252,0.703,144.955,144264
"Natti Natasha, Becky G",Ram Pam Pam,0.813,0.908,-2.749,0.305,0.0777,0.278,0.924,97.018,200785
"J Balvin, Skrillex",In Da Getto,0.72,0.915,-3.126,0.025,0.0459,0.0942,0.631,126.986,131067
Doja Cat,Woman,0.764,0.824,-4.175,0.0888,0.0854,0.117,0.881,107.998,172627
WILLOW,t r a n s p a r e n t s o u l feat. Travis Barker,0.83,0.39,-5.201,0.0021,0.0563,0.156,0.191,90.021,168030
Dave,Clash (feat. Stormzy),0.519,0.871,-6.549,0.313,0.258,0.0869,0.532,140.013,251733
Lewis Capaldi,Before You Go,0.575,0.459,-4.858,0.604,0.0573,0.0885,0.183,111.881,215107
Dua Lipa,Levitating,0.825,0.702,-3.787,0.00883,0.0601,0.0674,0.915,102.977,203064
Madison Beer,Reckless,0.426,0.386,-6.642,0.807,0.0363,0.14,0.261,180.104,203385
BANDIDO,"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",0.812,0.769,-2.088,0.281,0.0825,0.0781,0.926,180.003,280274
Imagine Dragons,Believer,0.78,0.776,-4.374,0.0622,0.128,0.081,0.666,124.949,204347
Internet Money,"Lemonade (feat. Gunna, Don Toliver & NAV)",0.66,0.799,-6.153,0.256,0.079,0.111,0.471,140.04,195429
Bruno Mars,Talking to the Moon,0.606,0.523,-4.754,0.512,0.0301,0.106,0.065,145.837,217867
SAINt JHN,Roses - Imanbek Remix,0.719,0.769,-5.472,0.0143,0.0474,0.359,0.863,121.955,176867
Sech,Sal y Perrea,0.899,0.786,-0.515,0.192,0.127,0.299,0.813,90.025,216510
"Becky G, El Alfa",Fulanito,0.837,0.93,-4.632,0.256,0.187,0.239,0.821,111.898,158532
Ingratax,París,0.455,0.57,-5.748,0.441,0.0996,0.0654,0.399,167.933,151429
Billie Eilish,lovely (with Khalid),0.296,0.351,-10.109,0.934,0.0333,0.095,0.12,115.284,200186
"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,0.479,0.76,-5.574,0.556,0.0466,0.0703,0.913,89.911,158040
dhruv,double take,0.434,0.663,-11.177,0.828,0.0648,0.249,0.225,109.075,171743
Doja Cat,Streets,0.463,0.749,-8.433,0.21,0.0842,0.338,0.189,90.035,226987
Calvin Harris,By Your Side (feat. Tom Grennan),0.96,0.733,-3.597,0.0514,0.0295,0.287,0.811,124.01,189672
Luan Santana,MORENA,0.731,0.526,-4.662,0.18,0.0887,0.0891,0.476,86.959,193221
Ed Sheeran,Shape of You,0.652,0.825,-3.183,0.581,0.0802,0.0931,0.931,95.977,233713
"Shawn Mendes, Camila Cabello",Señorita,0.54,0.759,-6.039,0.037,0.0287,0.0945,0.75,116.947,190960
Justin Bieber,Hold On,0.634,0.658,-5.797,0.0106,0.0413,0.132,0.29,139.98,170813
Ed Sheeran,Perfect,0.448,0.599,-6.312,0.163,0.0232,0.106,0.168,95.05,263400
"MYA, TINI, Duki",2:50 Remix,0.812,0.818,-4.425,0.112,0.0475,0.234,0.844,139.966,231708
"Bad Bunny, ROSALÍA",LA NOCHE DE ANOCHE,0.618,0.856,-4.892,0.0303,0.286,0.0866,0.391,81.993,203201
DaBaby,ROCKSTAR (feat. Roddy Ricch),0.69,0.746,-7.956,0.247,0.164,0.101,0.497,89.977,181733
Conan Gray,Heather,0.425,0.357,-7.301,0.584,0.0333,0.322,0.27,102.078,198040
Tate McRae,you broke me first,0.373,0.667,-9.389,0.785,0.05,0.0906,0.0823,124.148,169266
Avicii,The Nights,0.835,0.527,-5.298,0.0166,0.0433,0.249,0.654,125.983,176658
Vance Joy,Riptide,0.731,0.484,-6.694,0.431,0.0379,0.151,0.51,101.654,204280
Nirvana,Smells Like Teen Spirit,0.912,0.502,-4.556,2.55e-05,0.0564,0.106,0.72,116.761,301920
Olivia Rodrigo,enough for you,0.259,0.638,-10.706,0.753,0.0898,0.219,0.269,88.485,202827
The Neighbourhood,Daddy Issues,0.521,0.588,-9.461,0.0678,0.0329,0.123,0.337,85.012,260173
João Gomes,Aquelas Coisas,0.873,0.682,-4.163,0.402,0.0449,0.0946,0.964,150.006,147072
Trippie Redd,Miss The Rage (feat. Playboi Carti),0.859,0.584,-5.616,0.0144,0.121,0.847,0.369,77.005,236883
Maroon 5,Memories,0.327,0.775,-7.241,0.841,0.0557,0.0821,0.595,91.05,189486
Tom Odell,Another Love,0.537,0.445,-8.532,0.695,0.04,0.0941,0.131,122.764,244360
Jamie Miller,Here's Your Perfect,0.454,0.558,-5.335,0.499,0.0551,0.146,0.424,113.12,158594
Hozier,Take Me To Church,0.664,0.566,-5.303,0.634,0.0464,0.116,0.437,128.945,241693
Tom Grennan,Little Bit of Love,0.706,0.689,-4.48,0.0833,0.0312,0.105,0.623,106.52,226268
Gusttavo Lima,Ficha Limpa,0.732,0.774,-4.227,0.108,0.0308,0.243,0.734,135.005,192725
Cardi B,Up,0.795,0.868,-6.044,0.0012,0.269,0.0461,0.819,166.0,156945
Maluma,Hawái,0.788,0.766,-3.128,0.105,0.312,0.142,0.609,179.984,200482
Khalid,New Normal,0.534,0.39,-9.575,0.0807,0.0709,0.184,0.244,92.047,198765
Queen,Bohemian Rhapsody - Remastered 2011,0.402,0.392,-9.961,0.288,0.0536,0.243,0.228,143.883,354320
"Myke Towers, Juhn",Bandido,0.617,0.713,-4.637,0.122,0.0887,0.0962,0.682,168.021,232853
MEDUZA,Paradise (feat. Dermot Kennedy),0.595,0.632,-7.644,0.0689,0.0401,0.209,0.435,124.114,167903
Travis Scott,goosebumps,0.593,0.841,-7.846,0.418,0.0379,0.124,0.808,124.917,162803
Ofenbach,Wasted Love (feat. Lagique),0.855,0.734,-4.578,0.0821,0.135,0.0901,0.54,121.955,139563
"Camilo, Shawn Mendes",KESI - Remix,0.815,0.871,-4.439,0.127,0.0477,0.094,0.823,122.959,176575
"Lady Gaga, Bradley Cooper",Shallow,0.385,0.572,-6.362,0.371,0.0308,0.231,0.323,95.799,215733
"Cochise, $NOT",Tell Em,0.717,0.672,-7.476,0.103,0.226,0.398,0.473,157.905,180380
Mari Fernandez,"Não, Não Vou",0.861,0.631,-1.891,0.427,0.0424,0.215,0.822,149.95,173038
OneRepublic,Counting Stars,0.705,0.664,-4.972,0.0654,0.0382,0.115,0.477,122.017,257840
Coldplay,Yellow,0.661,0.429,-7.227,0.00239,0.0281,0.234,0.285,173.372,266773
"Emilia, Duki",Como Si No Importara,0.534,0.843,-6.658,0.467,0.142,0.0984,0.528,94.984,173053
"João Gomes, Vitor Fernandes",Se For Amor,0.899,0.667,-4.402,0.423,0.0322,0.332,0.835,147.962,239928
