artist_name,track_name,energy,danceability,loudness,acousticness,speechiness,liveness,valence,tempo,duration
Muse,Plug in Baby,0.965,0.408,-4.232,6.94e-06,0.05,0.11,0.349,136.018,218.0
La Cabra Mecanica,Felicidad,0.914,0.669,-3.314,0.136,0.184,0.169,0.919,102.002,254.65
La Fuga,Majareta,0.943,0.37,-5.162,0.0155,0.144,0.282,0.517,170.038,167.39
Los Delinquentes,Nube de pegatina,0.746,0.711,-8.864,0.291,0.0659,0.09,0.796,102.932,205.93
Melody,El Baile del Gorila,0.976,0.807,-3.569,0.135,0.0468,0.0504,0.801,122.007,191.0
Sophie Ellis-Bextor,Murder On The Dancefloor,0.849,0.73,-5.281,0.00234,0.0299,0.312,0.887,117.31,230.01
Siempre Asi,A Mi Manera,0.538,0.571,-9.936,0.411,0.0573,0.532,0.796,100.804,226.92
Violadores Del Verso,Vicios y Virtudes,0.755,0.791,-6.943,0.0827,0.287,0.0934,0.821,90.503,334.04
Andy & Lucas,Tanto la Queria,0.731,0.675,-5.718,0.556,0.0558,0.137,0.58,144.035,283.15
Manu Chao,Merry Blues,0.877,0.638,-8.208,0.438,0.252,0.134,0.894,164.039,216.07
Jarabe De Palo,Completo incompleto,0.326,0.631,-10.559,0.95,0.0322,0.0613,0.365,94.962,199.91
Los Piratas,El equilibrio es imposible,0.528,0.409,-6.204,0.181,0.029,0.19,0.234,78.059,200.43
Los Delinquentes,A la luz del Lorenzo,0.666,0.669,-10.662,0.107,0.0434,0.267,0.893,100.01,251.72
M-Clan,Maggie despierta - Maggie May,0.847,0.627,-3.186,0.139,0.0264,0.709,0.637,121.975,281.31
Guaraná,En la Casa de Inés,0.44,0.805,-6.934,0.452,0.0298,0.108,0.829,107.985,241.96
Sopa De Cabra,Camins,0.868,0.619,-4.77,0.23,0.0355,0.114,0.508,125.417,196.45
Ana Belén,Peces de Ciudad,0.554,0.481,-6.281,0.4,0.0363,0.151,0.332,153.954,334.97
El Arrebato,Poquito a poco,0.914,0.647,-5.978,0.457,0.0545,0.056,0.902,164.079,236.0
Fangoria,No Sé Qué Me Das,0.956,0.676,-8.129,0.0372,0.0399,0.0207,0.961,134.99,275.91
Alex Ubago,A gritos de esperanza,0.527,0.583,-7.998,0.473,0.0273,0.117,0.457,105.413,273.29
Fito y Fitipaldis,Para toda la vida,0.835,0.403,-4.23,0.021,0.0371,0.183,0.921,143.966,195.12
Manolo Garcia,Rosa de Alejandria,0.78,0.683,-4.565,0.252,0.0352,0.296,0.409,127.841,274.97
Jarabe De Palo,De vuelta y vuelta,0.559,0.674,-10.572,0.00728,0.0347,0.0993,0.508,119.915,344.27
Andy & Lucas,Son de Amores,0.836,0.685,-5.399,0.5,0.152,0.607,0.714,81.974,234.81
Siempre Asi,Si Los Hombres Han Llegado Hasta La Luna,0.747,0.655,-7.758,0.0645,0.09,0.0963,0.58,105.014,291.96
Alex Ubago,¿Qué pides tú?,0.692,0.685,-6.225,0.0762,0.0341,0.29,0.621,134.954,249.36
Fito y Fitipaldis,A la luna se le ve el ombligo,0.688,0.503,-6.615,0.141,0.0368,0.143,0.788,139.98,290.33
Bon Jovi,"It's My Life - Live In Toronto, Ontario/2000",0.952,0.517,-3.226,0.0296,0.0689,0.935,0.452,119.988,233.09
Rosario,Muchas Flores,0.968,0.87,-3.429,0.0486,0.185,0.0699,0.749,109.947,226.45
Manolo Garcia,Por Respirar,0.711,0.715,-5.384,0.547,0.0375,0.0824,0.547,122.933,283.49
