artist_name,track_name,energy,danceability,loudness,acousticness,speechiness,liveness,valence,tempo,duration
Bruce Springsteen,Turn Back the Hands of Time,0.854,0.657,-2.776,0.0552,0.0311,0.218,0.855,116.022,187400
Tom Odell,Another Love,0.538,0.442,-8.55,0.717,0.0451,0.09,0.139,122.758,244360
Calvin Harris,One Kiss (with Dua Lipa),0.862,0.791,-3.24,0.037,0.11,0.0814,0.592,123.994,214847
Kygo,Woke Up in Love,0.585,0.643,-5.994,0.225,0.0369,0.0927,0.188,106.015,216873
The Weeknd,Die For You,0.525,0.586,-7.163,0.111,0.0615,0.134,0.508,133.629,260253
Calvin Harris,"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)",0.733,0.81,-6.338,0.276,0.0444,0.288,0.9,125.975,229283
James Hype,Ferrari,0.69,0.847,-7.877,0.0127,0.0493,0.0526,0.692,125.004,186662
Beyoncé,CHURCH GIRL,0.919,0.792,-5.688,0.0381,0.276,0.368,0.22,92.028,224473
Marshmello,Numb,0.774,0.912,-4.673,0.121,0.0455,0.101,0.632,119.966,155589
Drake,Jimmy Cooks (feat. 21 Savage),0.673,0.529,-4.711,0.000307,0.175,0.093,0.366,165.921,218365
Dove Cameron,Boyfriend,0.612,0.345,-6.543,0.232,0.0608,0.194,0.232,179.773,153000
Future,WAIT FOR U (feat. Drake & Tems),0.642,0.463,-4.474,0.314,0.34,0.0686,0.339,83.389,189893
Calvin Harris,"New To You (with Normani, Tinashe, & Offset)",0.707,0.728,-5.09,0.371,0.0436,0.126,0.802,96.023,302952
Eyelar,till you hate me,0.448,0.628,-6.798,0.0298,0.0284,0.126,0.458,95.043,179100
Måneskin,SUPERMODEL,0.876,0.636,-3.413,0.00164,0.0555,0.117,0.799,120.983,148064
Jason Derulo,Jiggle Jiggle (Jason Derulo x Duke & Jones x Louis Theroux x Amelia Dimz),0.68,0.736,-2.733,0.243,0.0681,0.233,0.781,99.967,127694
Camila Cabello,psychofreak (feat. WILLOW),0.64,0.629,-7.638,0.342,0.0752,0.0928,0.448,179.989,201495
Pharrell Williams,Cash In Cash Out,0.56,0.877,-3.751,0.00721,0.0596,0.0839,0.154,119.971,216136
Lucky Daye,Over,0.541,0.677,-6.057,0.48,0.0571,0.125,0.379,103.369,205276
Calvin Harris,Potion (with Dua Lipa & Young Thug),0.697,0.824,-4.869,0.158,0.0473,0.077,0.757,99.988,214460
Fivio Foreign,Paris to Tokyo,0.787,0.642,-6.389,0.0185,0.17,0.288,0.406,146.733,130897
George Ezra,Dance All Over Me,0.757,0.65,-4.533,0.036,0.0413,0.115,0.413,115.995,194275
Kygo,Lost Without You (with Dean Lewis),0.575,0.621,-6.243,0.265,0.0564,0.0932,0.343,117.887,203610
Luísa Sonza,CACHORRINHAS,0.696,0.709,-4.837,0.16,0.275,0.248,0.484,98.119,134937
Khalid,Skyline,0.653,0.733,-6.094,0.0179,0.0391,0.184,0.752,119.996,182895
The Kid LAROI,Thousand Miles,0.657,0.376,-4.658,0.0858,0.0768,0.0884,0.203,80.565,164782
Princess Nokia,Diva,0.844,0.779,-4.147,0.0614,0.0378,0.127,0.643,127.994,207813
Justin Bieber,Ghost,0.741,0.604,-5.571,0.178,0.0475,0.409,0.473,153.947,153190
Tate McRae,what would you do?,0.627,0.8,-5.892,0.296,0.0633,0.0892,0.693,104.96,166948
ROSALÍA,LA FAMA (with The Weeknd),0.302,0.77,-7.911,0.946,0.0466,0.125,0.821,136.01,188103
Pharrell Williams,Just A Cloud Away,0.46,0.89,-8.155,0.432,0.0359,0.11,0.677,112.555,176078
The Chainsmokers,I Love U,0.719,0.651,-5.804,0.143,0.0318,0.0948,0.81,103.981,185523
Kygo,Dancing Feet (feat. DNCE),0.797,0.75,-4.826,0.293,0.118,0.392,0.523,105.949,215203
Tate McRae,she's all i wanna be,0.644,0.614,-5.372,0.0134,0.0426,0.117,0.651,160.036,206772
Jnr Choi,TO THE MOON,0.65,0.745,-11.814,0.0451,0.346,0.111,0.386,144.047,152137
Emmy Meli,I AM WOMAN,0.471,0.646,-9.247,0.122,0.157,0.125,0.455,170.084,232813
Doja Cat,Need to Know,0.609,0.664,-6.509,0.304,0.0707,0.0926,0.194,130.041,210560
Regard,Hallucination,0.788,0.687,-5.142,0.0121,0.0352,0.358,0.669,123.02,174795
Adele,Oh My God,0.725,0.534,-3.906,0.091,0.046,0.0264,0.55,88.098,225149
Rauw Alejandro,Todo De Ti,0.718,0.78,-3.605,0.31,0.0506,0.0932,0.342,127.949,199604
