artist_name,track_name,energy,danceability,loudness,acousticness,speechiness,liveness,valence,tempo,duration,top_hit
Conjecture City,Drowning In Success,0.252,0.643,-16.536,0.951,0.0411,0.0991,0.739,101.018,72.64,0
Los Llaneros De Guamuchil,La Novia Del Pajarillo,0.857,0.732,-4.917,0.099,0.0666,0.109,0.964,129.653,145.63,0
Yoga Playlist,Quiet Infinity,0.24,0.41,-15.039,0.82,0.0487,0.101,0.038,32.725,33.9,0
Wagner Linan,What Will Become,0.222,0.728,-19.343,0.807,0.0342,0.104,0.462,94.513,205.71,0
Pankaj Udhas,Choom Kar Madh Bhari,0.449,0.543,-10.99,0.638,0.0349,0.0773,0.609,113.153,382.88,0
Nathan Johnson,Nightschool,0.00267,0.732,-22.778,0.961,0.592,0.12,0.0,74.666,38.27,0
"Sounds Of Nature : Thunderstorm, Rain",Rain Glow,0.689,0.158,-26.141,0.673,0.0758,0.39,0.0342,86.398,92.55,0
Ville Dinero,Kevin Durant,0.175,0.758,-16.116,0.103,0.29,0.155,0.0722,127.872,114.29,0
Jay Ax,Music Takes Me (feat. Drac-La),0.751,0.543,-11.437,0.0237,0.499,0.11,0.113,140.241,217.67,0
Brndnlx,Shade of Green,0.209,0.682,-10.722,0.935,0.0377,0.0894,0.164,79.994,126.07,0
C.P Da BabyDon,In Tha Ghetto,0.463,0.768,-6.41,0.013,0.0969,0.1,0.521,75.998,206.16,0
MrDon Pablo,CUT UP,0.715,0.86,-6.535,0.0465,0.299,0.117,0.496,134.013,239.8,0
Lil E,Street Life (feat. Kevin Gates),0.625,0.503,-6.695,0.0264,0.306,0.117,0.298,141.938,260.31,0
Lil Kye,DON'T BE A FOOL,0.598,0.772,-6.287,0.408,0.307,0.147,0.343,142.976,174.6,0
Rob Tognoni,Dance Like This,0.915,0.634,-3.011,0.273,0.36,0.0791,0.771,94.891,278.0,0
Act,DA Doctor : Cap and Gown,0.45,0.425,-14.787,0.056,0.524,0.319,0.402,82.519,300.0,0
Zaid Ponce,Hospitable Pizzas,0.54,0.34,-12.858,0.0605,0.028,0.14,0.116,78.74,116.02,0
Volatile,Dream,0.737,0.467,-6.058,0.0657,0.307,0.207,0.648,175.396,253.96,0
Hamasaki vs Hamasaki,"When You Wish Upon a Star (Piano Version) [From ""Pinocchio""]",0.0459,0.601,-21.381,0.996,0.116,0.0935,0.47,113.897,211.54,0
IEBABII,SMOKEDRUGSFTW,0.426,0.756,-13.302,0.049,0.203,0.13,0.415,116.922,125.9,0
Dead & Company,"Playin' in the Band - Live at Coast Credit Union Music Park at Walnut Creek, Raleigh, NC 6/9/18",0.489,0.519,-14.806,0.632,0.0332,0.604,0.67,115.794,749.48,0
Lil Nate Tha Goer,Momma Goer (Outro),0.0186,0.0,-38.591,0.505,0.0,0.301,0.0,0.0,14.36,0
Hurracane,Bloody Bodies,0.525,0.47,-11.636,0.337,0.242,0.0893,0.113,130.282,291.69,0
Kenneth Slone,It's All About Love,0.475,0.747,-15.811,0.228,0.0298,0.116,0.54,107.016,164.74,0
Double Rainbow,Let Her Go (Only Know You Love Her),0.543,0.517,-6.307,0.315,0.0267,0.143,0.355,150.944,243.44,0
Ots J Huncho,Calvins Story Pt. 2,0.645,0.852,-6.159,0.00177,0.32,0.0809,0.401,161.71,98.3,0
The Dave Brubeck Quartet,The Lonesome Road - Remastered,0.13,0.523,-20.939,0.3,0.0524,0.105,0.148,101.236,460.83,0
Cult of Sue Todd,Genuflect,0.861,0.545,-9.065,0.0553,0.0417,0.0706,0.661,135.716,168.35,0
Kitten Music Therapy,Chilled The,0.00179,0.0683,-35.768,0.611,0.0524,0.112,0.0371,77.775,173.73,0
GVO,Workin' That Body,0.594,0.844,-7.907,0.293,0.168,0.107,0.672,103.003,165.9,0
YoungAge,Bandz Took - Remix,0.53,0.493,-10.636,0.116,0.34,0.342,0.364,120.033,176.0,0
A New Orchestra,Along the Path,0.202,0.269,-15.667,0.977,0.0373,0.108,0.0674,120.147,211.59,0
Bsgreck,Inna Stu,0.539,0.587,-5.907,0.029,0.302,0.122,0.25,80.162,94.74,0
Geru y Su Legion 7,Veredita Veredita,0.828,0.722,-4.699,0.0686,0.0501,0.0805,0.707,123.574,187.39,0
Trilly Polk,Drum Roll,0.599,0.846,-9.585,0.00219,0.0686,0.243,0.639,91.965,167.65,0
G. Love & Special Sauce,Saturday Night,0.947,0.465,-3.307,0.145,0.103,0.315,0.615,101.495,218.87,0
Rawk Dawg,Over The Rainbow,0.943,0.511,-3.869,0.403,0.0632,0.0664,0.544,130.032,206.53,0
Berg Corey,See You On the Big Planet,0.17,0.649,-25.204,0.812,0.0299,0.11,0.367,108.007,217.78,0
Madisons,So Long West Texas (Remastered 2021),0.708,0.484,-4.178,0.0042,0.0286,0.0715,0.799,158.044,290.63,0
No Parents,Brat,0.994,0.272,-8.106,0.000103,0.105,0.825,0.11,149.908,16.52,0
Double Rainbow,Finally Found You,0.91,0.578,-4.966,0.0203,0.045,0.19,0.607,127.909,225.85,0
D' Nairo,30 for 30,0.513,0.797,-11.068,0.479,0.439,0.106,0.813,162.094,201.59,0
kingwoo036 da God,Damn,0.828,0.891,-7.093,0.274,0.481,0.054,0.198,145.931,105.0,0
TCB Bounce Beat Kings,Get Em Daddy - Live,0.86,0.372,-6.065,0.538,0.135,0.843,0.649,83.217,214.03,0
The Sweetsers,I'll Be Fine,0.0821,0.411,-21.757,0.918,0.0472,0.0911,0.218,68.196,133.72,0
Feeljones,Don't Fall Off,0.793,0.788,-3.453,0.12,0.0599,0.129,0.694,129.999,181.95,0
Oliviero de Fabritiis,Aida: Act III: Qui Radamès verrà! - 2004 Remastered for SACD,0.0339,0.234,-25.516,0.965,0.0395,0.27,0.086,79.485,92.97,0
Five Finger Death Punch,The Bleeding,0.824,0.328,-5.611,0.00168,0.0486,0.116,0.0885,160.025,271.35,0
Alessi's Ark,Kind of Man,0.265,0.471,-10.838,0.486,0.0287,0.182,0.291,99.407,116.81,0
Ocean Sounds,Ljudet Av Havet För Sömn,0.244,0.253,-33.202,0.722,0.069,0.125,0.145,93.936,57.21,0
Rainy Milo,Miss You,0.612,0.534,-9.522,0.788,0.0881,0.0729,0.479,153.0,222.59,0
Dangling Chords,Tried and True,0.366,0.318,-7.593,2.18e-05,0.03,0.253,0.601,150.001,82.44,0
